N Induced,Comparison,APR Error,AUC-ROC Error,Pseudo-F
5 features,Joint-RPCA vs. MOFA+,6.372632453439375e-06,5.463627279789293e-06,0.00021448233973810725
5 features,Joint-RPCA vs. iClusterPlus,0.00024480482452445495,0.00020755872495895343,0.00032983852077799353
5 features,Joint-RPCA vs. intNMF,0.0005772900275846421,0.0005745288970677757,0.0022022199424970783
5 features,Joint-RPCA vs. Multiblock sPLS,3.5081402314278663e-06,6.717367620392312e-06,5.496926076043779e-06
10 features,Joint-RPCA vs. MOFA+,4.741969021677171e-06,3.7554123359721427e-06,4.00189992264144e-05
10 features,Joint-RPCA vs. iClusterPlus,0.00018267179110955002,0.00017761066068896375,0.00018267179110955002
10 features,Joint-RPCA vs. intNMF,0.00024612812790522973,0.00018165114609146497,0.00018267179110955002
10 features,Joint-RPCA vs. Multiblock sPLS,9.873526266792187e-06,2.290666073003534e-05,3.0147180676836917e-06
20 features,Joint-RPCA vs. MOFA+,1.515529596883032e-05,1.3973298122174579e-05,2.3130437636164237e-05
20 features,Joint-RPCA vs. iClusterPlus,0.00024612812790522973,0.0001806347208075351,0.00018267179110955002
20 features,Joint-RPCA vs. intNMF,0.00043963875262656454,0.0007476077499608668,0.0005828399431792743
20 features,Joint-RPCA vs. Multiblock sPLS,3.01793408604098e-06,2.966817032947179e-06,3.0147180676836917e-06
30 features,Joint-RPCA vs. MOFA+,0.00011413319420126774,0.00020026643117969798,5.234536616695991e-05
30 features,Joint-RPCA vs. iClusterPlus,0.0010035563801035303,0.0021853274789521097,0.00018267179110955002
30 features,Joint-RPCA vs. intNMF,0.00018165114609146497,0.0003264344499015525,0.0017062493689195964
30 features,Joint-RPCA vs. Multiblock sPLS,1.7470915721719708e-05,2.448846504759466e-05,5.502491986112445e-06
40 features,Joint-RPCA vs. MOFA+,7.359122106418653e-06,9.67621157263471e-06,1.7486787623738546e-05
40 features,Joint-RPCA vs. iClusterPlus,0.00017861448837368162,0.00031803479817687374,0.0007685389131627665
40 features,Joint-RPCA vs. intNMF,0.00017861448837368162,0.00017761066068896375,0.0022022199424970783
40 features,Joint-RPCA vs. Multiblock sPLS,3.497076410162005e-06,3.7123592375515083e-06,0.00010069582848459527
50 features,Joint-RPCA vs. MOFA+,8.223352145329244e-05,0.00016060641651646977,1.317080305326327e-05
50 features,Joint-RPCA vs. iClusterPlus,0.00023956342766442176,0.0002293269623305225,0.00018267179110955002
50 features,Joint-RPCA vs. intNMF,0.00017761066068896375,0.00017070029451986127,0.00024612812790522973
50 features,Joint-RPCA vs. Multiblock sPLS,6.347213604382215e-06,5.801240929519784e-06,4.078487254497777e-06
60 features,Joint-RPCA vs. MOFA+,0.00188355745768579,0.001590335404873889,0.0015226728206726324
60 features,Joint-RPCA vs. iClusterPlus,0.00043963875262656454,0.0002421737857385244,0.0017062493689195964
60 features,Joint-RPCA vs. intNMF,0.00018267179110955002,0.0004967293243696143,0.0028272720911168077
60 features,Joint-RPCA vs. Multiblock sPLS,3.01793408604098e-06,3.366541287145261e-06,8.524129952035093e-06
