method,method_detailed,n features,% features,time (s),time (hr)
MMvec,MMvec,5496,4.8,3035.739472684014,0.8432609646344483
Joint-RPCA,Estimated,4388,4.8,4.598135105999972,0.001277259751666659
Joint-RPCA,Estimated,5302,5.8,4.598135105999972,0.001277259751666659
MMvec,MMvec,6576,5.8,4074.4403780760767,1.1317889939100214
MMvec,MMvec,8738,7.7,5950.292163355072,1.652858934265298
Joint-RPCA,Estimated,7040,7.7,4.598135105999972,0.001277259751666659
Joint-RPCA,Estimated,7954,8.7,4.598135105999972,0.001277259751666659
MMvec,MMvec,9819,8.7,7500.127974284027,2.083368881745563
MMvec,MMvec,10900,9.6,10295.788636158017,2.8599412878216715
Joint-RPCA,Estimated,8777,9.6,4.598135105999972,0.001277259751666659
MMvec,MMvec,11980,10.5,21389.399624743004,5.941499895761946
Joint-RPCA,Joint-RPCA,11880,10.5,4.598135105999972,0.001277259751666659
MMvec,Estimated,12834,11.3,37887.5917488787,10.524331041355195
Joint-RPCA,Joint-RPCA,12890,11.3,4.7300303259999055,0.0013138973127777515
Joint-RPCA,Joint-RPCA,14923,13.1,5.828596809000146,0.0016190546691667073
MMvec,Estimated,14878,13.1,174493.1246385133,48.47031239958703
Joint-RPCA,Joint-RPCA,16968,14.9,6.154360853000071,0.0017095446813889085
MMvec,Estimated,16922,14.9,857719.1622909991,238.25532285861087
MMvec,Estimated,22033,19.4,47814461.589886,13281.794886079446
Joint-RPCA,Joint-RPCA,22045,19.4,8.300841738000145,0.002305789371666707
Joint-RPCA,Joint-RPCA,27133,23.9,9.971473732999812,0.00276985381472217
Joint-RPCA,Joint-RPCA,34072,30.0,13.201322094000034,0.0036670339150000095
Joint-RPCA,Joint-RPCA,39751,35.0,16.923151209000025,0.0047008753358333405
Joint-RPCA,Joint-RPCA,45430,40.0,17.19847063300017,0.004777352953611158
Joint-RPCA,Joint-RPCA,113576,100.0,67.66099839999993,0.018794721777777756
